Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.29,-.04,-.37,-.13,.00,-.82,-.48,-.28,-.15,-.11,-.02,.05,.65
1881,-.08,-.18,.01,-.35,.10,-.06,-.92,-.44,-.20,.10,.10,-.04,-.07,.57
1882,-.10,-.21,.00,-.31,-.05,.02,-1.42,-.26,-.14,-.05,-.05,.03,.04,.60
1883,-.17,-.27,-.06,-.34,-.16,.00,-.19,-.55,-.24,-.17,-.15,-.02,.07,.48
1884,-.28,-.43,-.15,-.61,-.15,-.14,-1.33,-.64,-.46,-.13,-.17,-.18,-.02,.63
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.54,-.69,-.46,-.06,-.20,-.32,-.15,.80
1886,-.31,-.43,-.20,-.57,-.19,-.21,-1.61,-.50,-.41,-.20,-.18,-.19,-.20,.57
1887,-.36,-.44,-.28,-.53,-.29,-.28,-1.78,-.50,-.30,-.29,-.30,-.26,-.26,.30
1888,-.17,-.23,-.11,-.42,.10,-.28,-1.32,-.42,-.25,.07,.13,-.30,-.22,.13
1889,-.10,-.18,-.03,-.30,.08,-.15,-.71,-.21,-.28,.02,.15,-.14,-.15,.42
1890,-.35,-.39,-.31,-.47,-.36,-.21,-1.16,-.56,-.28,-.26,-.46,-.16,-.27,.13
1891,-.22,-.26,-.18,-.43,-.07,-.20,-1.14,-.33,-.37,.01,-.16,-.17,-.23,-.18
1892,-.27,-.39,-.15,-.44,-.29,-.07,-1.14,-.64,-.18,-.33,-.26,.04,-.21,.07
1893,-.31,-.48,-.14,-.51,-.36,-.04,-.67,-.54,-.48,-.42,-.30,.08,-.20,-.06
1894,-.30,-.39,-.20,-.33,-.33,-.23,-.94,-.33,-.19,-.48,-.17,-.13,-.34,-.40
1895,-.22,-.31,-.14,-.41,-.07,-.25,-.69,-.53,-.28,-.14,.01,-.18,-.31,-.61
1896,-.11,-.20,-.02,-.36,.10,-.14,-.87,-.37,-.23,.05,.15,-.13,-.13,.23
1897,-.11,-.17,-.04,-.36,.17,-.22,-.56,-.47,-.25,.14,.21,-.17,-.27,.38
1898,-.27,-.28,-.25,-.35,-.22,-.25,-1.16,-.21,-.24,-.18,-.26,-.26,-.20,.35
1899,-.17,-.22,-.13,-.25,-.12,-.18,-1.07,-.09,-.16,-.16,-.07,-.14,-.21,.56
1900,-.08,-.09,-.06,-.20,.17,-.29,-.57,-.14,-.16,.09,.26,-.27,-.29,.25
1901,-.16,-.13,-.17,-.18,-.04,-.30,-.47,-.11,-.15,-.06,-.01,-.26,-.33,.24
1902,-.28,-.34,-.21,-.54,-.03,-.34,-1.45,-.51,-.33,-.02,-.05,-.27,-.43,-.07
1903,-.37,-.39,-.36,-.48,-.28,-.38,-.33,-.43,-.56,-.24,-.33,-.34,-.40,-.48
1904,-.47,-.49,-.45,-.52,-.46,-.43,-.22,-.61,-.55,-.44,-.47,-.36,-.49,-1.30
1905,-.26,-.30,-.22,-.42,-.08,-.35,-.11,-.24,-.63,-.12,-.04,-.32,-.37,-.32
1906,-.22,-.25,-.20,-.27,-.19,-.22,-.33,-.07,-.40,-.22,-.16,-.19,-.22,-.70
1907,-.39,-.48,-.29,-.60,-.30,-.29,-.62,-.73,-.52,-.31,-.29,-.20,-.36,-1.19
1908,-.43,-.46,-.39,-.49,-.43,-.35,-.27,-.55,-.52,-.42,-.44,-.28,-.48,.69
1909,-.48,-.50,-.46,-.54,-.47,-.43,-.79,-.62,-.44,-.44,-.50,-.36,-.52,-.55
1910,-.43,-.45,-.42,-.42,-.48,-.37,-.60,-.25,-.49,-.49,-.47,-.32,-.45,.17
1911,-.43,-.42,-.44,-.43,-.41,-.47,-.30,-.42,-.47,-.42,-.40,-.43,-.52,.06
1912,-.35,-.46,-.23,-.60,-.17,-.36,-.51,-.79,-.50,-.27,-.07,-.35,-.29,-1.62
1913,-.34,-.42,-.25,-.45,-.26,-.34,-.51,-.33,-.51,-.39,-.13,-.27,-.40,-1.02
1914,-.15,-.20,-.10,-.26,-.05,-.17,-.39,-.16,-.29,-.11,.01,-.14,-.18,-.35
1915,-.14,-.15,-.12,-.24,.00,-.21,-.61,-.17,-.19,-.01,.00,-.14,-.23,-1.97
1916,-.36,-.42,-.30,-.38,-.44,-.22,-.50,-.54,-.25,-.49,-.39,-.22,-.17,-1.04
1917,-.46,-.58,-.35,-.51,-.63,-.18,-.84,-.50,-.44,-.69,-.57,-.22,-.09,.08
1918,-.29,-.40,-.19,-.41,-.33,-.13,-1.04,-.27,-.35,-.38,-.27,-.05,-.22,-.27
1919,-.28,-.35,-.19,-.44,-.19,-.22,-.73,-.56,-.30,-.23,-.16,-.14,-.32,.21
1920,-.27,-.31,-.23,-.26,-.25,-.31,-.05,-.21,-.35,-.38,-.12,-.18,-.48,-1.13
1921,-.19,-.12,-.26,.00,-.25,-.30,-.05,.16,-.09,-.29,-.20,-.22,-.38,-.83
1922,-.28,-.28,-.29,-.26,-.32,-.27,-.35,-.41,-.14,-.32,-.32,-.23,-.28,-.27
1923,-.27,-.23,-.31,-.16,-.30,-.33,.13,-.16,-.26,-.32,-.28,-.25,-.41,-.53
1924,-.27,-.19,-.35,-.14,-.25,-.43,.42,-.26,-.23,-.26,-.25,-.39,-.45,-.52
1925,-.22,-.14,-.29,-.05,-.24,-.37,-.12,.17,-.18,-.28,-.20,-.24,-.55,-.85
1926,-.11,.02,-.21,.02,.02,-.40,.55,.15,-.22,.01,.02,-.34,-.45,-.62
1927,-.22,-.14,-.29,-.14,-.16,-.38,.00,-.22,-.13,-.14,-.18,-.29,-.45,-1.37
1928,-.20,-.10,-.29,-.07,-.15,-.39,.69,-.18,-.23,-.15,-.16,-.28,-.48,-2.11
1929,-.36,-.34,-.38,-.38,-.28,-.45,.12,-.62,-.38,-.27,-.28,-.42,-.44,-1.06
1930,-.16,-.02,-.29,.04,-.11,-.42,.52,.03,-.11,-.09,-.12,-.32,-.46,-2.58
1931,-.10,.04,-.22,.00,.07,-.42,.55,-.05,-.14,.10,.04,-.41,-.40,-.40
1932,-.16,-.06,-.26,.03,-.17,-.34,.47,.19,-.22,-.19,-.15,-.20,-.53,-.98
1933,-.29,-.26,-.32,-.25,-.29,-.34,-.17,-.47,-.13,-.28,-.29,-.21,-.48,-1.13
1934,-.13,-.01,-.26,.16,-.26,-.26,.87,.30,-.14,-.26,-.26,-.15,-.38,-.56
1935,-.20,-.10,-.30,-.05,-.19,-.37,.33,-.06,-.17,-.17,-.21,-.30,-.41,-1.70
1936,-.15,-.04,-.27,-.03,-.13,-.30,.39,.10,-.26,-.05,-.22,-.26,-.33,-.02
1937,-.03,.12,-.18,.19,-.06,-.22,1.23,.02,-.03,.01,-.13,-.19,-.25,.38
1938,-.01,.16,-.19,.38,-.23,-.10,1.50,.38,.02,-.17,-.29,-.06,-.11,-.85
1939,-.02,.09,-.13,.22,-.12,-.12,.56,.28,.07,-.10,-.14,-.04,-.18,-1.59
1940,.12,.17,.09,.10,.28,-.07,.99,-.03,-.10,.28,.28,.03,-.20,-.04
1941,.18,.22,.16,.01,.49,-.05,.00,-.10,.08,.55,.43,.04,-.15,-.45
1942,.06,.12,.00,.12,.07,-.01,.72,-.07,.05,.12,.02,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.41,.28,.10,-.10,-.08,.07,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.17,.46,.09,.11,.25,.19,-.09,-.92
1945,.09,.10,.09,.10,.16,-.03,.63,-.03,.03,.10,.23,.04,.00,-1.76
1946,-.08,.02,-.17,.06,-.05,-.24,-.03,-.06,.16,-.03,-.08,-.22,-.24,-.15
1947,-.03,.08,-.14,.15,-.07,-.16,1.06,-.14,.04,-.03,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.12,-.19,-.24,.11,.31,.00,-.23,-.15,-.19,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.20,.16,.05,-.23,-.16,-.17,-.15,-1.95
1950,-.18,-.15,-.21,-.05,-.30,-.14,.19,-.31,.03,-.30,-.29,-.06,-.16,-.86
1951,-.07,.04,-.18,.07,-.06,-.23,.08,.01,.11,-.01,-.12,-.21,-.16,-.69
1952,.01,.06,-.03,.11,.01,-.09,.27,-.09,.18,-.01,.04,-.09,-.02,-.49
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.13,.08,.07,-.08,-.24,-1.09
1954,-.13,-.02,-.25,.06,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.80
1955,-.14,-.10,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.22
1956,-.19,-.24,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.20,-.15,-.17,.15,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.05,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.11,-.14,-.15,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.23,-.14,.11
1967,-.02,.03,-.07,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.10,-.06,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.06,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.20,-.34,.17,.14,-.36,-.47,-.24,.07,.26,.16,-.02,.44
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.30,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.21,.31,.27
1978,.07,.02,.11,-.03,.08,.16,-.15,.04,-.03,.10,.05,.20,.13,.04
1979,.16,.09,.25,-.03,.26,.23,-.60,.07,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.10,.79,.09,.22,.15,.28,.38,.60
1982,.14,.06,.23,-.07,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.06,.29,.58,.21,.41,.04
1984,.16,.04,.27,.02,.18,.26,.36,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.01,.04,.14,.29,.44,.04
1986,.18,.14,.23,.11,.22,.19,.01,.28,.04,.18,.27,.25,.25,-.11
1987,.32,.25,.40,.05,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.41,.37,.39,.59,.57,.24,.32,.42,.38,.20,.86
1989,.27,.27,.27,.41,.13,.33,.34,.69,.26,.07,.19,.35,.30,.34
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.36,.37,.37,.37
1991,.41,.41,.40,.47,.37,.39,.75,.66,.27,.32,.41,.31,.29,.96
1992,.22,.14,.31,.10,.28,.26,-.17,.44,-.02,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.10,.29,.36,.26,.39,-.29
1994,.32,.38,.26,.44,.31,.20,.34,.50,.43,.29,.34,.26,.23,-.05
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.33,.41,.45,.28,.15,.15
1996,.33,.27,.39,.24,.32,.43,.77,.17,.11,.31,.32,.32,.28,1.21
1997,.47,.52,.41,.54,.51,.33,.76,.90,.24,.50,.52,.42,.36,.00
1998,.61,.71,.52,.78,.70,.33,.86,.94,.66,.60,.79,.39,.31,.16
1999,.39,.49,.28,.71,.21,.30,.40,.80,.75,.16,.25,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.97,.80,.56,.21,.29,.41,.10,.27
2001,.54,.64,.44,.81,.42,.43,1.07,.86,.69,.40,.44,.58,.24,.32
2002,.63,.72,.54,.83,.59,.47,1.25,1.00,.59,.55,.64,.49,.32,.77
2003,.62,.75,.49,.84,.64,.37,1.49,.98,.55,.61,.66,.44,.24,.43
2004,.54,.66,.42,.73,.55,.33,.46,.95,.67,.56,.53,.48,.23,.04
2005,.68,.86,.50,1.02,.62,.42,1.98,1.23,.58,.62,.62,.49,.18,.71
2006,.64,.82,.46,.99,.55,.40,1.73,1.06,.71,.57,.54,.51,.19,.47
2007,.67,.86,.47,1.14,.46,.47,2.12,1.32,.70,.45,.47,.49,.07,1.26
2008,.54,.68,.40,.92,.37,.39,1.54,1.08,.63,.34,.41,.52,.09,.62
2009,.66,.73,.59,.78,.68,.52,1.42,.60,.69,.65,.70,.60,.15,1.01
2010,.72,.90,.55,1.03,.68,.48,2.22,.87,.75,.72,.65,.63,.20,.51
2011,.61,.75,.46,.99,.37,.54,2.35,.94,.59,.39,.35,.64,.18,1.03
2012,.65,.82,.47,1.05,.52,.41,2.22,.93,.75,.48,.56,.56,.19,.34
2013,.68,.80,.55,.96,.58,.54,1.55,1.05,.70,.58,.57,.62,.22,.90
2014,.75,.92,.57,1.08,.67,.52,2.04,1.14,.74,.69,.64,.72,.18,.55
2015,.90,1.18,.62,1.32,.95,.40,2.00,1.48,1.01,.98,.93,.75,.18,-.35
2016,1.01,1.31,.72,1.55,1.01,.48,3.24,1.44,1.09,.96,1.06,.67,.25,.37
2017,.92,1.18,.66,1.40,.81,.59,2.52,1.38,1.06,.87,.76,.76,.35,.52
2018,.85,1.04,.65,1.25,.67,.68,2.14,1.09,1.07,.73,.61,.80,.37,.92
2019,.98,1.22,.74,1.43,.89,.65,2.71,1.44,1.01,.91,.88,.74,.39,.85
2020,1.02,1.36,.68,1.68,.86,.56,2.91,1.82,1.20,.88,.84,.58,.39,.87